@@,item,itemlabel,startdate,enddate
+++,Q6438717,Krobo Edusei,,
+++,,Eric R.K. Dwemoh(Commissioner for Transport and Communications),,
+++,,Group Captain T. T. Kutin(Commissioner for Transport and Communications),,
+++,,Colonel David A. Iddisah(Commissioner for Transport and Communications),1975-10,
+++,Q5345199,Edward Salia,1997,2001-01
+++,Q2150918,Richard Anane,2003-04,2006-10
+++,,Vacant,2006-10,2007
+++,,Godfred T. Bonyon(Minister for Roads and Highways),2007-08,2009-01
->,Q5147367,Collins Dauda,2011-01,2013-01->2012-07
+++,Q5147367,Collins Dauda,2012-07,2013-01
->,Q16149987,Dzifa Ativor->Dzifa Attivor,2013-02,2015-12
->,Q16196930,Fiifi Fiavi Kwetey->Fiifi Kwetey,2016-02,2017-01
->,Q31751719,Kweku Ofori Asiamah->Kweku Asiamah,2017-02,
